Subject,Start date
Horário manhã,01/06/2020
Horário tarde,01/07/2020
Horário tarde,01/08/2020
Horário noite,01/09/2020
Horário noite,01/10/2020
Horário folga,01/12/2020
Horário folga,01/13/2020
Horário manhã,01/14/2020
Horário manhã,01/15/2020
Horário tarde,01/16/2020
Horário tarde,01/17/2020
Horário noite,01/18/2020
Horário noite,01/19/2020
Horário folga,01/20/2020
Horário folga,01/21/2020
Horário manhã,01/22/2020
Horário manhã,01/23/2020
Horário tarde,01/24/2020
Horário tarde,01/25/2020
Horário noite,01/26/2020
Horário noite,01/27/2020
Horário folga,01/28/2020
Horário folga,01/29/2020
Horário manhã,01/30/2020
Horário manhã,01/31/2020
Horário tarde,02/01/2020
Horário tarde,02/02/2020
Horário noite,02/03/2020
Horário noite,02/04/2020
Horário folga,02/05/2020
Horário folga,02/06/2020
Horário manhã,02/07/2020
Horário manhã,02/08/2020
Horário tarde,02/09/2020
Horário tarde,02/10/2020
Horário noite,02/11/2020
Horário noite,02/12/2020
Horário folga,02/13/2020
Horário folga,02/14/2020
Horário manhã,02/15/2020
Horário manhã,02/16/2020
Horário tarde,02/17/2020
Horário tarde,02/18/2020
Horário noite,02/19/2020
Horário noite,02/20/2020
Horário folga,02/21/2020
Horário folga,02/22/2020
Horário manhã,02/23/2020
Horário manhã,02/24/2020
Horário tarde,02/25/2020
Horário tarde,02/26/2020
Horário noite,02/27/2020
Horário noite,02/28/2020
Horário folga,02/29/2020
Horário folga,03/01/2020
Horário manhã,03/02/2020
Horário manhã,03/03/2020
Horário tarde,03/04/2020
Horário tarde,03/05/2020
Horário noite,03/06/2020
Horário noite,03/07/2020
Horário folga,03/08/2020
Horário folga,03/09/2020
Horário manhã,03/10/2020
Horário manhã,03/11/2020
Horário tarde,03/12/2020
Horário tarde,03/13/2020
Horário noite,03/14/2020
Horário noite,03/15/2020
Horário folga,03/16/2020
Horário folga,03/17/2020
Horário manhã,03/18/2020
Horário manhã,03/19/2020
Horário tarde,03/20/2020
Horário tarde,03/21/2020
Horário noite,03/22/2020
Horário noite,03/23/2020
Horário folga,03/24/2020
Horário folga,03/25/2020
Horário manhã,03/26/2020
Horário manhã,03/27/2020
Horário tarde,03/28/2020
Horário tarde,03/29/2020
Horário noite,03/30/2020
Horário noite,03/31/2020
Horário folga,04/01/2020
Horário folga,04/02/2020
Horário manhã,04/03/2020
Horário manhã,04/04/2020
Horário tarde,04/05/2020
Horário tarde,04/06/2020
Horário noite,04/07/2020
Horário noite,04/08/2020
Horário folga,04/09/2020
Horário folga,04/10/2020
Horário manhã,04/11/2020
Horário manhã,04/12/2020
Horário tarde,04/13/2020
Horário tarde,04/14/2020
Horário noite,04/15/2020
Horário noite,04/16/2020
Horário folga,04/17/2020
Horário folga,04/18/2020
Horário manhã,04/19/2020
Horário manhã,04/20/2020
Horário tarde,04/21/2020
Horário tarde,04/22/2020
Horário noite,04/23/2020
Horário noite,04/24/2020
Horário folga,04/25/2020
Horário folga,04/26/2020
Horário manhã,04/27/2020
Horário manhã,04/28/2020
Horário tarde,04/29/2020
Horário tarde,04/30/2020
Horário noite,05/01/2020
Horário noite,05/02/2020
Horário folga,05/03/2020
Horário folga,05/04/2020
Horário manhã,05/05/2020
Horário manhã,05/06/2020
Horário tarde,05/07/2020
Horário tarde,05/08/2020
Horário noite,05/09/2020
Horário noite,05/10/2020
Horário folga,05/11/2020
Horário folga,05/12/2020
Horário manhã,05/13/2020
Horário manhã,05/14/2020
Horário tarde,05/15/2020
Horário tarde,05/16/2020
Horário noite,05/17/2020
Horário noite,05/18/2020
Horário folga,05/19/2020
